,biogas,capacity_ren,capacity_offshore,capacity_pv,demand,insulation,learning,elasticity,gasprices,woodprices,cop
S6096,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,reference,reference,reference,reference
S6097,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,reference,reference,reference,COP+
S6098,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,reference,reference,PriceWood+,reference
S6099,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,reference,reference,PriceWood+,COP+
S6100,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,reference,PriceGas+,reference,reference
S6101,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,reference,PriceGas+,reference,COP+
S6102,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,reference,PriceGas+,PriceWood+,reference
S6103,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,reference,PriceGas+,PriceWood+,COP+
S6104,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity+,reference,reference,reference
S6105,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity+,reference,reference,COP+
S6106,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity+,reference,PriceWood+,reference
S6107,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity+,reference,PriceWood+,COP+
S6108,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity+,PriceGas+,reference,reference
S6109,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity+,PriceGas+,reference,COP+
S6110,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S6111,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S6112,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity-,reference,reference,reference
S6113,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity-,reference,reference,COP+
S6114,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity-,reference,PriceWood+,reference
S6115,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity-,reference,PriceWood+,COP+
S6116,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity-,PriceGas+,reference,reference
S6117,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity-,PriceGas+,reference,COP+
S6118,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S6119,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S6120,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,reference,reference,reference,reference
S6121,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,reference,reference,reference,COP+
S6122,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,reference,reference,PriceWood+,reference
S6123,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,reference,reference,PriceWood+,COP+
S6124,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,reference,PriceGas+,reference,reference
S6125,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,reference,PriceGas+,reference,COP+
S6126,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,reference,PriceGas+,PriceWood+,reference
S6127,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,reference,PriceGas+,PriceWood+,COP+
S6128,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity+,reference,reference,reference
S6129,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity+,reference,reference,COP+
S6130,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity+,reference,PriceWood+,reference
S6131,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity+,reference,PriceWood+,COP+
S6132,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity+,PriceGas+,reference,reference
S6133,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity+,PriceGas+,reference,COP+
S6134,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,reference
S6135,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S6136,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity-,reference,reference,reference
S6137,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity-,reference,reference,COP+
S6138,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity-,reference,PriceWood+,reference
S6139,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity-,reference,PriceWood+,COP+
S6140,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity-,PriceGas+,reference,reference
S6141,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity-,PriceGas+,reference,COP+
S6142,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,reference
S6143,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S6144,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,reference,reference,reference,reference
S6145,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,reference,reference,reference,COP+
S6146,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,reference,reference,PriceWood+,reference
S6147,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,reference,reference,PriceWood+,COP+
S6148,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,reference,PriceGas+,reference,reference
S6149,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,reference,PriceGas+,reference,COP+
S6150,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,reference
S6151,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,COP+
S6152,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity+,reference,reference,reference
S6153,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity+,reference,reference,COP+
S6154,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,reference
S6155,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,COP+
S6156,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,reference
S6157,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,COP+
S6158,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S6159,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S6160,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity-,reference,reference,reference
S6161,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity-,reference,reference,COP+
S6162,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,reference
S6163,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,COP+
S6164,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,reference
S6165,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,COP+
S6166,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S6167,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S6168,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,reference,reference,reference,reference
S6169,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,reference,reference,reference,COP+
S6170,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,reference,reference,PriceWood+,reference
S6171,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,reference,reference,PriceWood+,COP+
S6172,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,reference,PriceGas+,reference,reference
S6173,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,reference,PriceGas+,reference,COP+
S6174,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,reference,PriceGas+,PriceWood+,reference
S6175,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,reference,PriceGas+,PriceWood+,COP+
S6176,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity+,reference,reference,reference
S6177,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity+,reference,reference,COP+
S6178,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,reference
S6179,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,COP+
S6180,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,reference
S6181,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,COP+
S6182,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S6183,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S6184,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity-,reference,reference,reference
S6185,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity-,reference,reference,COP+
S6186,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,reference
S6187,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,COP+
S6188,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,reference
S6189,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+
S6190,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S6191,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S6192,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,reference,reference,reference,reference
S6193,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,reference,reference,reference,COP+
S6194,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,reference,reference,PriceWood+,reference
S6195,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,reference,reference,PriceWood+,COP+
S6196,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,reference,PriceGas+,reference,reference
S6197,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,reference,PriceGas+,reference,COP+
S6198,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,reference,PriceGas+,PriceWood+,reference
S6199,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,reference,PriceGas+,PriceWood+,COP+
S6200,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity+,reference,reference,reference
S6201,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity+,reference,reference,COP+
S6202,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity+,reference,PriceWood+,reference
S6203,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity+,reference,PriceWood+,COP+
S6204,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,reference,reference
S6205,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,reference,COP+
S6206,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,PriceWood+,reference
S6207,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S6208,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity-,reference,reference,reference
S6209,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity-,reference,reference,COP+
S6210,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity-,reference,PriceWood+,reference
S6211,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity-,reference,PriceWood+,COP+
S6212,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity-,PriceGas+,reference,reference
S6213,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity-,PriceGas+,reference,COP+
S6214,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity-,PriceGas+,PriceWood+,reference
S6215,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S6216,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,reference,reference,reference,reference
S6217,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,reference,reference,reference,COP+
S6218,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,reference,reference,PriceWood+,reference
S6219,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,reference,reference,PriceWood+,COP+
S6220,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,reference,PriceGas+,reference,reference
S6221,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,reference,PriceGas+,reference,COP+
S6222,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,reference,PriceGas+,PriceWood+,reference
S6223,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,reference,PriceGas+,PriceWood+,COP+
S6224,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity+,reference,reference,reference
S6225,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity+,reference,reference,COP+
S6226,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity+,reference,PriceWood+,reference
S6227,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity+,reference,PriceWood+,COP+
S6228,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,reference,reference
S6229,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,reference,COP+
S6230,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S6231,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S6232,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity-,reference,reference,reference
S6233,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity-,reference,reference,COP+
S6234,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity-,reference,PriceWood+,reference
S6235,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity-,reference,PriceWood+,COP+
S6236,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,reference,reference
S6237,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,reference,COP+
S6238,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S6239,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S6240,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,reference,reference,reference,reference
S6241,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,reference,reference,reference,COP+
S6242,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,reference,reference,PriceWood+,reference
S6243,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,reference,reference,PriceWood+,COP+
S6244,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,reference,PriceGas+,reference,reference
S6245,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,reference,PriceGas+,reference,COP+
S6246,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,reference,PriceGas+,PriceWood+,reference
S6247,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,reference,PriceGas+,PriceWood+,COP+
S6248,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity+,reference,reference,reference
S6249,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity+,reference,reference,COP+
S6250,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity+,reference,PriceWood+,reference
S6251,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity+,reference,PriceWood+,COP+
S6252,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,reference,reference
S6253,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,reference,COP+
S6254,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S6255,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S6256,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity-,reference,reference,reference
S6257,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity-,reference,reference,COP+
S6258,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity-,reference,PriceWood+,reference
S6259,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity-,reference,PriceWood+,COP+
S6260,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,reference,reference
S6261,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,reference,COP+
S6262,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S6263,Biogas-,Ren-,Offshore-,reference,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S6264,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,reference,reference,reference,reference
S6265,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,reference,reference,reference,COP+
S6266,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,reference,reference,PriceWood+,reference
S6267,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,reference,reference,PriceWood+,COP+
S6268,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,reference,PriceGas+,reference,reference
S6269,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,reference,PriceGas+,reference,COP+
S6270,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,reference,PriceGas+,PriceWood+,reference
S6271,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,reference,PriceGas+,PriceWood+,COP+
S6272,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity+,reference,reference,reference
S6273,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity+,reference,reference,COP+
S6274,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity+,reference,PriceWood+,reference
S6275,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity+,reference,PriceWood+,COP+
S6276,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,reference,reference
S6277,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,reference,COP+
S6278,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,reference
S6279,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S6280,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity-,reference,reference,reference
S6281,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity-,reference,reference,COP+
S6282,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity-,reference,PriceWood+,reference
S6283,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity-,reference,PriceWood+,COP+
S6284,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,reference,reference
S6285,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,reference,COP+
S6286,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,reference
S6287,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S6288,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,reference,reference,reference,reference
S6289,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,reference,reference,reference,COP+
S6290,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,reference,reference,PriceWood+,reference
S6291,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,reference,reference,PriceWood+,COP+
S6292,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,reference,reference
S6293,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,reference,COP+
S6294,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,reference
S6295,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,COP+
S6296,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,reference,reference
S6297,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,reference,COP+
S6298,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,reference
S6299,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,COP+
S6300,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,reference
S6301,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,COP+
S6302,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S6303,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S6304,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,reference,reference
S6305,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,reference,COP+
S6306,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,reference
S6307,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,COP+
S6308,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,reference
S6309,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,COP+
S6310,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S6311,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S6312,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,reference,reference,reference,reference
S6313,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,reference,reference,reference,COP+
S6314,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,reference,reference,PriceWood+,reference
S6315,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,reference,reference,PriceWood+,COP+
S6316,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,reference,PriceGas+,reference,reference
S6317,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,reference,PriceGas+,reference,COP+
S6318,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,reference,PriceGas+,PriceWood+,reference
S6319,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,reference,PriceGas+,PriceWood+,COP+
S6320,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,reference,reference,reference
S6321,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,reference,reference,COP+
S6322,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,reference
S6323,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,COP+
S6324,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,reference
S6325,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,COP+
S6326,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S6327,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S6328,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,reference,reference,reference
S6329,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,reference,reference,COP+
S6330,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,reference
S6331,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,COP+
S6332,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,reference
S6333,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+
S6334,Biogas-,Ren-,Offshore-,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
